Date Time,Freq1,Freq2,Pulse1,Pulse2,Massflow1,Massflow2,Volumeflow1,Volumeflow2,Pressure1,Pressure2,Temp1,Temp2,Density1,Density2
DD/MM/YY HH:mm,Hz,Hz,cycle/hour,cycle/hour,kg/hr,kg/hr,Sm^3/hr,Sm^3/hr,bar,bar,°C,°C,kg/m^3,kg/m^3
EC02,FT301,FT302,FT301,FT302,FT301,FT302,FT301,FT302,PT301,PT302,TT301,TT302,DT301,DT302
6/5/2023 14:04,7.518,0,27064.7832,0,5.3614,0,3.9786,0,1.6499,-0.019014,26.4634,26.7927,1.2269,1.2275
6/5/2023 14:04,12.0284,0,43302.0625,0,10.0257,0,6.3655,0,1.6503,-0.018785,26.5426,26.7139,1.2269,1.2275
6/5/2023 14:04,12.9206,0,46514.1953,0,8.393,0,6.8377,0,1.6499,-0.018555,26.5116,26.7824,1.2269,1.2275
6/5/2023 14:04,20.8715,0,75137.375,0,13.5578,0,11.0454,0,1.6501,-0.018785,26.4634,26.683,1.2269,1.2275
6/5/2023 14:04,20.9513,0,71901.6172,0,13.6096,0,11.0876,0,1.6501,-0.019014,26.5151,26.707,1.2269,1.2275
6/5/2023 14:04,20.8702,0,75132.6328,0,13.1949,0,11.0447,0,1.6503,-0.018785,26.4427,26.6625,1.2269,1.2275
6/5/2023 14:04,11.7857,0,42428.6328,0,13.3594,0,6.2371,0,1.6508,-0.018785,26.4668,26.6351,1.2269,1.2275
6/5/2023 14:04,13.6933,0,49295.8945,0,4.4886,0,7.2466,0,1.6503,-0.018785,26.522,26.7619,1.2269,1.2275
6/5/2023 14:04,14.0347,0,50524.9102,0,9.1167,0,7.4273,0,1.6508,-0.018785,26.453,26.7722,1.2269,1.2275
6/5/2023 14:04,4.9146,0,17692.7012,0,7.4484,0,6.0682,0,1.6508,-0.018785,26.5564,26.7173,1.2269,1.2275
6/5/2023 14:04,15.5546,0,55996.7305,0,9.5985,0,8.2317,0,1.6503,-0.019014,26.5461,26.7482,1.2269,1.2275
6/5/2023 14:04,16.9165,0,60899.2734,0,10.9887,0,8.9524,0,1.651,-0.019014,26.5289,26.7173,1.2269,1.2275
6/5/2023 14:04,17.3036,0,44558.2617,0,11.2401,0,9.1572,0,1.651,-0.019014,26.453,26.7482,1.2269,1.2275
6/5/2023 14:04,6.7039,0,24134.1504,0,3.0653,0,2.4973,0,1.6512,-0.018785,26.5013,26.7516,1.2269,1.2275
6/5/2023 14:04,15.3384,0,55218.1289,0,10.775,0,8.1172,0,1.6512,-0.018785,26.5323,26.7756,1.2269,1.2275
6/5/2023 14:04,12.9029,0,46450.4258,0,6.351,0,6.8283,0,1.6515,-0.019014,26.4703,26.6968,1.2269,1.2275
6/5/2023 14:04,10.4224,0,37520.6758,0,6.7702,0,5.5156,0,1.6515,-0.019014,26.4496,26.659,1.2269,1.2275
6/5/2023 14:04,2.2234,0,42717.6914,0,1.4443,0,1.1766,0,1.6515,-0.019014,26.4427,26.7619,1.2269,1.2275
6/5/2023 14:04,4.2601,0,15336.3789,0,7.0699,0,5.7598,0,1.6512,-0.018785,26.4668,26.7859,1.2269,1.2275
6/5/2023 14:04,17.3998,0,62639.3516,0,6.7489,0,9.2082,0,1.6515,-0.019014,26.4875,26.779,1.2269,1.2275
6/5/2023 14:04,20.7474,0,74690.5,0,13.3544,0,10.9797,0,1.6512,-0.018785,26.5082,26.7345,1.2269,1.2275
6/5/2023 14:04,19.0506,0,68582.0234,0,12.375,0,10.0818,0,1.6519,-0.018785,26.5082,26.731,1.2269,1.2275
6/5/2023 14:04,6.5577,0,23607.8457,0,4.2598,0,3.4704,0,1.6512,-0.018785,26.4634,26.6933,1.2269,1.2275
6/5/2023 14:04,19.7958,0,71265,0,11.4497,0,9.3279,0,1.6517,-0.019014,26.5151,26.7447,1.2269,1.2275
6/5/2023 14:04,12.4445,0,44800.0391,0,13.1025,0,6.5857,0,1.6517,-0.018785,26.4909,26.7859,1.2269,1.2275
6/5/2023 14:04,18.1146,0,65212.7227,0,6.8523,0,9.5865,0,1.6519,-0.019014,26.4496,26.7482,1.2269,1.2275
6/5/2023 14:04,16.0718,0,57858.5898,0,10.44,0,8.5054,0,1.6522,-0.019014,26.484,26.779,1.2269,1.2275
6/5/2023 14:04,12.819,0,46148.2969,0,8.327,0,6.7839,0,1.6524,-0.018785,26.5116,26.7619,1.2269,1.2275
6/5/2023 14:05,14.6414,0,68279.0781,0,9.5109,0,7.7484,0,1.6519,-0.018785,26.4944,26.6933,1.2269,1.2275
6/5/2023 14:05,14.7031,0,52931.0117,0,12.7378,0,7.781,0,1.6522,-0.019014,26.4634,26.6796,1.2269,1.2275
6/5/2023 14:05,8.8198,0,31751.1816,0,5.9688,0,4.6675,0,1.6522,-0.018785,26.4151,26.7516,1.2269,1.2275
