Date Time,Freq1,Freq2,Pulse1,Pulse2,Massflow1,Massflow2,Volumeflow1,Volumeflow2,Pressure1,Pressure2,Temp1,Temp2,Density1,Density2
DD/MM/YY HH:mm,Hz,Hz,cycle/hour,cycle/hour,kg/hr,kg/hr,Sm^3/hr,Sm^3/hr,bar,bar,°C,°C,kg/m^3,kg/m^3
EC02,FT301,FT302,FT301,FT302,FT301,FT302,FT301,FT302,PT301,PT302,TT301,TT302,DT301,DT302
3/5/2023 15:10,0,16.9963,0,61186.7461,0,13.5929,0,8.9986,1.6847,1.6578,25.4395,26.258,1.2269,1.2275
3/5/2023 15:10,0,16.4835,0,59340.4336,0,11.6396,0,8.7271,1.6849,1.6576,25.3706,26.138,1.2269,1.2275
3/5/2023 15:10,0,20.1881,0,72677.1172,0,13.1139,0,10.6885,1.6847,1.6578,25.4223,26.2306,1.2269,1.2275
3/5/2023 15:10,0,20.4685,0,55050.2539,0,13.2961,0,10.837,1.6849,1.6581,25.3775,26.1963,1.2269,1.2275
3/5/2023 15:10,0,20.3607,0,73298.5547,0,11.0529,0,10.7799,1.6845,1.6583,25.374,26.1209,1.2269,1.2275
3/5/2023 15:10,0,21.4295,0,77146.0469,0,13.7424,0,11.3457,1.6847,1.6585,25.3913,26.1997,1.2269,1.2275
3/5/2023 15:10,0,21.0521,0,75787.6016,0,13.6751,0,11.1459,1.6847,1.6585,25.3637,26.1997,1.2269,1.2275
3/5/2023 15:10,0,20.6776,0,74439.25,0,13.4318,0,10.9476,1.6847,1.6585,25.4051,26.1963,1.2269,1.2275
3/5/2023 15:10,0,21.3306,0,76790.1875,0,13.3757,0,10.9019,1.6842,1.6585,25.4637,26.2306,1.2269,1.2275
3/5/2023 15:10,0,21.1706,0,76214.0469,0,13.9714,0,11.2087,1.6842,1.6583,25.3671,26.1586,1.2269,1.2275
3/5/2023 15:10,0,20.7121,0,74563.5078,0,13.5696,0,10.9659,1.6847,1.6585,25.4051,26.162,1.2269,1.2275
3/5/2023 15:10,0,20.3747,0,73348.8047,0,13.2351,0,10.7873,1.6845,1.6576,25.443,26.1483,1.2269,1.2275
3/5/2023 15:10,0,19.2234,0,69204.375,0,12.4873,0,10.1778,1.6842,1.6581,25.3706,26.2374,1.2269,1.2275
3/5/2023 15:10,0,21.4354,0,77167.5547,0,13.5692,0,11.0596,1.6842,1.6583,25.3637,26.2032,1.2269,1.2275
3/5/2023 15:11,0,20.8167,0,74940,0,13.7642,0,11.0213,1.6838,1.6578,25.3775,26.2649,1.2269,1.2275
3/5/2023 15:11,0,20.6591,0,74372.7656,0,13.3748,0,10.9379,1.684,1.6578,25.3775,26.1792,1.2269,1.2275
3/5/2023 15:11,0,7.5069,0,27024.7969,0,4.8764,0,3.9745,1.684,1.6578,25.3982,26.1894,1.2269,1.2275
3/5/2023 15:11,0,16.5936,0,59736.8438,0,10.7789,0,8.7854,1.684,1.6588,25.374,26.1929,1.2269,1.2275
3/5/2023 15:11,0,21.058,0,75808.6562,0,13.5759,0,11.0651,1.6842,1.6599,25.3982,26.1037,1.2269,1.2275
3/5/2023 15:11,0,20.7222,0,74599.8516,0,13.5338,0,10.9713,1.684,1.6592,25.4395,26.2032,1.2269,1.2275
3/5/2023 15:11,0,20.876,0,75153.4453,0,13.4606,0,11.0527,1.684,1.6599,25.3775,26.1586,1.2269,1.2275
3/5/2023 15:11,0,20.6716,0,65106.168,0,13.4279,0,10.9445,1.6838,1.6599,25.4395,26.1654,1.2269,1.2275
3/5/2023 15:11,0,16.8387,0,60619.4219,0,6.4728,0,8.9152,1.6838,1.6592,25.4602,26.2134,1.2269,1.2275
3/5/2023 15:11,0,20.5967,0,74147.9609,0,12.8937,0,10.9048,1.6838,1.6595,25.3844,26.1826,1.2269,1.2275
3/5/2023 15:11,0,19.6123,0,70604.3125,0,12.7399,0,10.3836,1.6838,1.6595,25.3775,26.2032,1.2269,1.2275
3/5/2023 15:11,0,20.5058,0,74533.0938,0,13.3203,0,10.8567,1.6838,1.6595,25.3913,26.1517,1.2269,1.2275
3/5/2023 15:11,0,17.6604,0,63577.543,0,11.0844,0,9.3502,1.6835,1.6595,25.3602,26.2032,1.2269,1.2275
3/5/2023 15:11,0,18.6793,0,67245.5547,0,11.2367,0,9.8897,1.6835,1.6592,25.3775,26.1826,1.2269,1.2275
3/5/2023 15:11,0,11.5219,0,41479,0,7.4845,0,6.1002,1.6835,1.6592,25.4119,26.138,1.2269,1.2275
3/5/2023 15:11,0,20.6924,0,74492.6641,0,11.5265,0,9.3947,1.6833,1.6595,25.3809,26.1963,1.2269,1.2275
3/5/2023 15:11,0,21.3209,0,76755.1641,0,13.746,0,11.2882,1.6831,1.6592,25.3982,26.2032,1.2269,1.2275
3/5/2023 15:11,0,21.184,0,76262.4609,0,13.8175,0,11.2158,1.6831,1.6595,25.4568,26.2751,1.2269,1.2275
3/5/2023 15:11,0,21.2014,0,76325.0312,0,13.7721,0,11.225,1.6829,1.6595,25.4188,26.234,1.2269,1.2275
3/5/2023 15:11,0,13.1729,0,47422.2891,0,8.5569,0,6.9743,1.6833,1.6592,25.3671,26.2134,1.2269,1.2275
3/5/2023 15:11,0,21.3541,0,76874.8984,0,13.513,0,11.0138,1.6833,1.6597,25.3706,26.2134,1.2269,1.2275
3/5/2023 15:11,0,20.8669,0,75120.7891,0,13.7823,0,11.0479,1.6833,1.6595,25.3637,26.1929,1.2269,1.2275
3/5/2023 15:11,0,10.9279,0,39340.3945,0,11.4468,0,5.7857,1.6833,1.6599,25.3671,26.1929,1.2269,1.2275
3/5/2023 15:11,0,20.288,0,73036.6875,0,13.1788,0,10.7414,1.6829,1.6597,25.3878,26.1689,1.2269,1.2275
3/5/2023 15:11,0,17.9021,0,64447.625,0,11.6289,0,9.4782,1.6833,1.6595,25.3844,26.2271,1.2269,1.2275
3/5/2023 15:11,0,21.4182,0,77105.4453,0,13.3615,0,10.8903,1.6829,1.6601,25.3809,26.1517,1.2269,1.2275
3/5/2023 15:11,0,18.4864,0,66551.0078,0,13.9896,0,9.7875,1.6829,1.6604,25.3602,26.2409,1.2269,1.2275
3/5/2023 15:12,0,20.4621,0,73663.4062,0,12.773,0,10.8335,1.6826,1.6604,25.3878,26.1963,1.2269,1.2275
3/5/2023 15:12,0,17.6219,0,63439.0117,0,11.447,0,9.3299,1.6829,1.6604,25.3775,26.1483,1.2269,1.2275
3/5/2023 15:12,0,20.8362,0,75010.4531,0,13.8227,0,11.2662,1.6826,1.6592,25.374,26.186,1.2269,1.2275
3/5/2023 15:12,0,20.762,0,74743.25,0,13.5923,0,10.9924,1.6829,1.6599,25.3637,26.2066,1.2269,1.2275
3/5/2023 15:12,0,21.5667,0,77640.0391,0,14.0094,0,11.4184,1.6826,1.6604,25.3878,26.1723,1.2269,1.2275
3/5/2023 15:12,0,21.4239,0,77695.0547,0,13.9166,0,11.3428,1.6826,1.6604,25.4361,26.1723,1.2269,1.2275
3/5/2023 15:12,0,21.2326,0,76437.3594,0,13.9795,0,11.394,1.6824,1.6597,25.3637,26.1209,1.2269,1.2275
3/5/2023 15:12,0,20.8653,0,75114.9141,0,13.6058,0,11.047,1.6826,1.6599,25.3775,26.1483,1.2269,1.2275
3/5/2023 15:12,0,16.7983,0,60473.9648,0,10.3976,0,8.8938,1.6824,1.6606,25.3775,26.1792,1.2269,1.2275
3/5/2023 15:12,0,21.0228,0,75682.1016,0,13.6561,0,11.1304,1.6824,1.6606,25.3775,26.1997,1.2269,1.2275
3/5/2023 15:12,0,20.4484,0,73802.0078,0,13.283,0,10.8263,1.6824,1.6604,25.3637,26.2032,1.2269,1.2275
3/5/2023 15:12,0,21.0009,0,75603.1641,0,13.7395,0,11.1984,1.6822,1.6606,25.4119,26.2409,1.2269,1.2275
3/5/2023 15:12,0,21.1894,0,76281.6953,0,13.453,0,11.2186,1.6822,1.6608,25.3602,26.1826,1.2269,1.2275
3/5/2023 15:12,0,21.0471,0,75769.4453,0,13.8942,0,11.1433,1.6826,1.6608,25.3809,26.1826,1.2269,1.2275
3/5/2023 15:12,0,19.8266,0,71375.7812,0,12.8791,0,10.4971,1.6822,1.6606,25.374,26.1483,1.2269,1.2275
3/5/2023 15:12,0,21.5873,0,77072.8828,0,14.0228,0,11.4293,1.6822,1.6608,25.3913,26.162,1.2269,1.2275
3/5/2023 15:12,0,21.2962,0,76666.2031,0,13.9006,0,11.3297,1.6819,1.6608,25.4016,26.1894,1.2269,1.2275
3/5/2023 15:12,0,21.5829,0,77698.5312,0,13.9336,0,11.427,1.6822,1.6613,25.374,26.1689,1.2269,1.2275
3/5/2023 15:12,0,21.0007,0,75602.4375,0,13.6519,0,11.1187,1.6819,1.6611,25.3809,26.1415,1.2269,1.2275
3/5/2023 15:12,0,20.8515,0,75065.3672,0,13.5448,0,11.0397,1.6822,1.6613,25.4119,26.1483,1.2269,1.2275
3/5/2023 15:12,0,20.8809,0,77059.0078,0,13.5639,0,11.0553,1.6819,1.6611,25.3982,26.162,1.2269,1.2275
3/5/2023 15:12,0,20.9565,0,75443.3125,0,13.9463,0,11.367,1.6822,1.6606,25.4119,26.1037,1.2269,1.2275
3/5/2023 15:12,0,21.1001,0,75960.3438,0,13.8013,0,11.1714,1.6819,1.6606,25.3844,26.066,1.2269,1.2275
3/5/2023 15:12,0,20.8552,0,75078.6328,0,13.4034,0,11.0417,1.6817,1.6604,25.4292,26.1175,1.2269,1.2275
3/5/2023 15:12,0,21.2747,0,76588.9219,0,13.6998,0,11.2638,1.6817,1.6615,25.3533,26.1483,1.2269,1.2275
3/5/2023 15:12,0,14.8733,0,69870.1562,0,9.6615,0,7.8746,1.6817,1.6613,25.3982,26.114,1.2269,1.2275
3/5/2023 15:13,0,21.3035,0,76692.7031,0,13.7367,0,11.2791,1.6815,1.6613,25.3913,26.1346,1.2269,1.2275
3/5/2023 15:13,0,20.8329,0,74998.4922,0,13.7943,0,11.0299,1.6815,1.6608,25.443,26.1209,1.2269,1.2275
3/5/2023 15:13,0,12.7638,0,45949.7461,0,8.2912,0,6.7577,1.6817,1.6615,25.4085,26.138,1.2269,1.2275
3/5/2023 15:13,0,20.6011,0,74164.0234,0,13.3822,0,10.9072,1.6815,1.6613,25.4188,26.162,1.2269,1.2275
3/5/2023 15:13,0,19.3896,0,69802.5312,0,11.3873,0,9.2813,1.6812,1.6615,25.4637,26.1723,1.2269,1.2275
3/5/2023 15:13,0,20.894,0,75218.2656,0,12.7352,0,11.0622,1.6812,1.6611,25.4051,26.09,1.2269,1.2275
3/5/2023 15:13,0,20.7572,0,74725.8516,0,13.6044,0,10.9898,1.6815,1.6615,25.3671,26.138,1.2269,1.2275
3/5/2023 15:13,0,20.7686,0,74766.8594,0,13.491,0,10.9958,1.6815,1.6611,25.4051,26.1277,1.2269,1.2275
3/5/2023 15:13,0,20.8168,0,74940.5,0,13.5223,0,11.0214,1.6815,1.662,25.3671,26.1449,1.2269,1.2275
3/5/2023 15:13,0,21.3921,0,77011.4219,0,13.4828,0,10.9892,1.6812,1.662,25.4223,26.1654,1.2269,1.2275
3/5/2023 15:13,0,21.0632,0,75827.5234,0,14.0855,0,11.1518,1.6808,1.662,25.3602,26.1277,1.2269,1.2275
3/5/2023 15:13,0,21.2322,0,76435.9453,0,13.5324,0,11.2413,1.681,1.6617,25.3671,26.1894,1.2269,1.2275
3/5/2023 15:13,0,20.8921,0,75211.5469,0,13.5712,0,11.0612,1.681,1.6615,25.3706,26.1277,1.2269,1.2275
3/5/2023 15:13,0,21.6985,0,78114.7109,0,14.095,0,11.4882,1.6812,1.6624,25.3947,26.1997,1.2269,1.2275
3/5/2023 15:13,0,21.0335,0,75720.5234,0,13.6689,0,11.1409,1.681,1.6613,25.4257,26.1929,1.2269,1.2275
3/5/2023 15:13,0,21.4115,0,77081.2969,0,13.7468,0,11.3362,1.681,1.662,25.3878,26.1312,1.2269,1.2275
3/5/2023 15:13,0,20.1737,0,72625.1484,0,12.7632,0,10.6808,1.6808,1.662,25.4188,26.0763,1.2269,1.2275
3/5/2023 15:13,0,21.2341,0,76442.7969,0,13.7934,0,11.2423,1.6812,1.6622,25.4361,26.0969,1.2269,1.2275
3/5/2023 15:13,0,21.3803,0,76969.0703,0,13.8883,0,11.3197,1.6806,1.6622,25.4223,26.162,1.2269,1.2275
3/5/2023 15:13,0,21.0213,0,75676.6484,0,13.5519,0,11.0455,1.6806,1.6627,25.3706,26.1106,1.2269,1.2275
3/5/2023 15:13,0,20.4743,0,73707.6172,0,13.4749,0,10.84,1.6803,1.6627,25.3706,26.1312,1.2269,1.2275
3/5/2023 15:13,0,20.6032,0,74171.6016,0,13.3835,0,10.9083,1.681,1.6624,25.3775,26.0935,1.2269,1.2275
3/5/2023 15:13,0,20.678,0,68565.0547,0,13.4321,0,10.9479,1.6801,1.6627,25.4051,26.1312,1.2269,1.2275
3/5/2023 15:13,0,8.9474,0,32210.6797,0,11.2131,0,9.1392,1.6808,1.6629,25.3878,26.042,1.2269,1.2275
3/5/2023 15:13,0,19.7716,0,71177.7812,0,9.6007,0,10.468,1.6806,1.6624,25.3671,26.1003,1.2269,1.2275
3/5/2023 15:13,0,21.4322,0,77155.7578,0,13.4656,0,11.3472,1.6803,1.6624,25.3051,26.1483,1.2269,1.2275
3/5/2023 15:13,0,21.6584,0,77970.3672,0,14.069,0,11.467,1.6803,1.6638,25.3637,26.1517,1.2269,1.2275
3/5/2023 15:14,0,21.2951,0,40542.1992,0,13.833,0,11.2746,1.6801,1.6631,25.3706,26.1277,1.2269,1.2275
3/5/2023 15:14,0,18.9275,0,68139.1641,0,9.0099,0,7.3435,1.6806,1.6629,25.374,26.1586,1.2269,1.2275
3/5/2023 15:14,0,20.7633,0,74747.9844,0,13.1473,0,10.9931,1.6803,1.6627,25.3671,26.1209,1.2269,1.2275
3/5/2023 15:14,0,21.3585,0,76890.4453,0,13.6162,0,11.3081,1.6803,1.6624,25.3637,26.1209,1.2269,1.2275
3/5/2023 15:14,0,11.9801,0,43128.4414,0,7.7821,0,6.3428,1.6799,1.6627,25.4016,26.1792,1.2269,1.2275
3/5/2023 15:14,0,13.5394,0,40908.7148,0,8.795,0,7.1684,1.6801,1.6622,25.3671,26.1277,1.2269,1.2275
3/5/2023 15:14,0,14.2591,0,51332.9141,0,10.9621,0,8.9346,1.6801,1.6627,25.3947,26.1415,1.2269,1.2275
3/5/2023 15:14,0,20.6423,0,74312.3047,0,12.2494,0,10.929,1.6801,1.6629,25.3671,26.1689,1.2269,1.2275
3/5/2023 15:14,0,21.6273,0,77858.4609,0,13.7545,0,11.4505,1.6803,1.6629,25.3913,26.1243,1.2269,1.2275
3/5/2023 15:14,0,21.2764,0,76594.9922,0,13.9235,0,11.2647,1.6799,1.6633,25.3602,26.1415,1.2269,1.2275
3/5/2023 15:14,0,20.8847,0,75184.8672,0,13.5664,0,11.0573,1.6796,1.6629,25.3671,26.0969,1.2269,1.2275
3/5/2023 15:14,0,21.2289,0,76424.0859,0,13.79,0,11.2396,1.6801,1.6627,25.3602,26.1483,1.2269,1.2275
3/5/2023 15:14,0,20.9833,0,75539.8828,0,13.8437,0,11.2833,1.6799,1.6627,25.3637,26.1277,1.2269,1.2275
3/5/2023 15:14,0,20.9385,0,75378.6406,0,13.4508,0,11.0858,1.6796,1.6629,25.4085,26.1106,1.2269,1.2275
3/5/2023 15:14,0,21.7068,0,78144.5625,0,14.1004,0,11.4926,1.6796,1.6629,25.374,26.0832,1.2269,1.2275
3/5/2023 15:14,0,21.0807,0,76410.7891,0,13.6937,0,11.1611,1.6794,1.6631,25.3671,26.1552,1.2269,1.2275
3/5/2023 15:14,0,14.9047,0,53656.8906,0,12.1987,0,7.8912,1.6794,1.6633,25.343,26.066,1.2269,1.2275
3/5/2023 15:14,0,20.5103,0,73836.9531,0,12.0193,0,10.8591,1.6794,1.6629,25.3499,26.2203,1.2269,1.2275
3/5/2023 15:14,0,15.4755,0,55711.8711,0,10.0527,0,8.1934,1.6796,1.6636,25.3602,26.114,1.2269,1.2275
